sample_id,event_id,date,latitude,longitude,elevation_m,slope_deg,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,label,sample_type,exclusion_distance_m,random_seed,terrain_source,terrain_resolution_m,rainfall_source,rainfall_native_resolution_m,crs
BG_267,,2024-05-28,23.49335432135286,92.91654694279089,874.1047,17.193237,110.98725128173828,184.87119102478027,224.34815788269043,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_268,,2024-05-28,23.65855450210244,92.74514838658088,401.61304,36.25544,155.62832641601562,252.92779159545898,267.52588748931885,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_269,,2024-05-28,23.783869484237112,92.87747022793168,525.97186,33.65012,146.19754028320312,231.4242706298828,247.65005111694336,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_270,,2024-05-28,23.855824538495085,92.87450578749409,834.8013,28.406143,156.0974578857422,246.51656341552734,246.51656341552734,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_271,,2024-05-28,23.666639339659515,92.46083159915705,418.47748,35.85938,158.1863555908203,306.2813949584961,306.2813949584961,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_272,,2024-05-28,23.70733302203013,92.48239116597591,629.152,30.281796,158.54266357421875,296.9300537109375,296.9300537109375,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_273,,2024-05-28,23.883312986189143,92.92840470454126,1547.276,33.710056,133.07452392578125,257.0649871826172,257.0649871826172,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_274,,2024-05-28,23.527310639092576,92.83947149141342,1277.3009,37.24773,132.90013122558594,232.4102783203125,274.9632263183594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_275,,2024-05-28,23.762309917418243,92.67885271861286,739.8679,30.593605,172.75070190429688,279.26146697998047,279.26146697998047,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_276,,2024-05-28,23.562614429758476,92.60312474016158,537.43933,37.3331,139.08123779296875,246.19755172729492,273.67797660827637,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_277,,2024-05-28,23.660979953369562,92.97556625695753,1130.9008,25.171072,118.6979751586914,184.82564544677734,217.03961086273193,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
